kpi_delivered_total,kpi_throughput_per_100_steps,kpi_mean_backlog,kpi_peak_backlog,kpi_rest_ratio,kpi_human_utilization,kpi_drone_utilization,episode_fatigue_increase_total,episode_delivered_delta_total,kpi_mean_fatigue,kpi_peak_fatigue,kpi_fatigue_hi_ratio,r_delivery_per_step,r_fatigue_inc_per_step,r_backlog_per_step,r_fatigue_level_per_step,r_total_per_step
234,11.7,0.0,0,0.293,0.6485,0.0,236.00000000000043,234,0.7562206607778333,1.0,0.647,0.117,-0.0943999999999998,0.0,-1.5124413215556667,-1.4898413215556765
234,11.7,0.0,0,0.293,0.6485,0.0,236.00000000000043,234,0.7562206607778333,1.0,0.647,0.117,-0.0943999999999998,0.0,-1.5124413215556667,-1.4898413215556765
234,11.7,0.0,0,0.293,0.6485,0.0,236.00000000000043,234,0.7562206607778333,1.0,0.647,0.117,-0.0943999999999998,0.0,-1.5124413215556667,-1.4898413215556765
234,11.7,0.0,0,0.293,0.6485,0.0,236.00000000000043,234,0.7562206607778333,1.0,0.647,0.117,-0.0943999999999998,0.0,-1.5124413215556667,-1.4898413215556765
234,11.7,0.0,0,0.293,0.6485,0.0,236.00000000000043,234,0.7562206607778333,1.0,0.647,0.117,-0.0943999999999998,0.0,-1.5124413215556667,-1.4898413215556765
234,11.7,0.0,0,0.293,0.6485,0.0,236.00000000000043,234,0.7562206607778333,1.0,0.647,0.117,-0.0943999999999998,0.0,-1.5124413215556667,-1.4898413215556765
234,11.7,0.0,0,0.293,0.6485,0.0,236.00000000000043,234,0.7562206607778333,1.0,0.647,0.117,-0.0943999999999998,0.0,-1.5124413215556667,-1.4898413215556765
234,11.7,0.0,0,0.293,0.6485,0.0,236.00000000000043,234,0.7562206607778333,1.0,0.647,0.117,-0.0943999999999998,0.0,-1.5124413215556667,-1.4898413215556765
234,11.7,0.0,0,0.293,0.6485,0.0,236.00000000000043,234,0.7562206607778333,1.0,0.647,0.117,-0.0943999999999998,0.0,-1.5124413215556667,-1.4898413215556765
234,11.7,0.0,0,0.293,0.6485,0.0,236.00000000000043,234,0.7562206607778333,1.0,0.647,0.117,-0.0943999999999998,0.0,-1.5124413215556667,-1.4898413215556765
234,11.7,0.0,0,0.293,0.6485,0.0,236.00000000000043,234,0.7562206607778333,1.0,0.647,0.117,-0.0943999999999998,0.0,-1.5124413215556667,-1.4898413215556765
234,11.7,0.0,0,0.293,0.6485,0.0,236.00000000000043,234,0.7562206607778333,1.0,0.647,0.117,-0.0943999999999998,0.0,-1.5124413215556667,-1.4898413215556765
234,11.7,0.0,0,0.293,0.6485,0.0,236.00000000000043,234,0.7562206607778333,1.0,0.647,0.117,-0.0943999999999998,0.0,-1.5124413215556667,-1.4898413215556765
234,11.7,0.0,0,0.293,0.6485,0.0,236.00000000000043,234,0.7562206607778333,1.0,0.647,0.117,-0.0943999999999998,0.0,-1.5124413215556667,-1.4898413215556765
234,11.7,0.0,0,0.293,0.6485,0.0,236.00000000000043,234,0.7562206607778333,1.0,0.647,0.117,-0.0943999999999998,0.0,-1.5124413215556667,-1.4898413215556765
234,11.7,0.0,0,0.293,0.6485,0.0,236.00000000000043,234,0.7562206607778333,1.0,0.647,0.117,-0.0943999999999998,0.0,-1.5124413215556667,-1.4898413215556765
234,11.7,0.0,0,0.293,0.6485,0.0,236.00000000000043,234,0.7562206607778333,1.0,0.647,0.117,-0.0943999999999998,0.0,-1.5124413215556667,-1.4898413215556765
234,11.7,0.0,0,0.293,0.6485,0.0,236.00000000000043,234,0.7562206607778333,1.0,0.647,0.117,-0.0943999999999998,0.0,-1.5124413215556667,-1.4898413215556765
234,11.7,0.0,0,0.293,0.6485,0.0,236.00000000000043,234,0.7562206607778333,1.0,0.647,0.117,-0.0943999999999998,0.0,-1.5124413215556667,-1.4898413215556765
234,11.7,0.0,0,0.293,0.6485,0.0,236.00000000000043,234,0.7562206607778333,1.0,0.647,0.117,-0.0943999999999998,0.0,-1.5124413215556667,-1.4898413215556765
