kpi_delivered_total,kpi_throughput_per_100_steps,kpi_mean_backlog,kpi_peak_backlog,kpi_rest_ratio,kpi_human_utilization,kpi_drone_utilization,episode_fatigue_increase_total,episode_delivered_delta_total,kpi_mean_fatigue,kpi_peak_fatigue,kpi_fatigue_hi_ratio,r_delivery_per_step,r_fatigue_inc_per_step,r_backlog_per_step,r_fatigue_level_per_step,r_total_per_step,policy
330.0,16.5,0.8405000000000001,3.0,0.0,0.9170000000000001,0.33100000000000007,2.0,330.0,0.9985000000000002,1.0,0.9980000000000002,0.165,-0.0008,-0.42025000000000007,-1.9970000000000003,-2.2530500000000004,always_enqueue
306.0,15.300000000000002,0.0,0.0,0.0,0.8465,0.0,2.0,306.0,0.9985000000000002,1.0,0.9980000000000002,0.153,-0.0008,0.0,-1.9970000000000003,-1.8448,always_transport
234.0,11.699999999999998,0.0,0.0,0.29300000000000004,0.6485000000000001,0.0,236.00000000000037,234.0,0.7562206607778333,1.0,0.647,0.11700000000000002,-0.0943999999999998,0.0,-1.5124413215556667,-1.4898413215556765,fatigue_threshold
330.0,16.5,0.8405000000000001,3.0,0.0,0.9170000000000001,0.33100000000000007,2.0,330.0,0.9985000000000002,1.0,0.9980000000000002,0.165,-0.0008,-0.42025000000000007,-1.9970000000000003,-2.2530500000000004,enqueue_when_high_fatigue
