kpi_delivered_total,kpi_throughput_per_100_steps,kpi_mean_backlog,kpi_peak_backlog,kpi_rest_ratio,kpi_delivered_pct,kpi_remaining_work_pct,kpi_completion_pct,kpi_human_utilization,kpi_drone_utilization,episode_fatigue_increase_total,episode_delivered_delta_total,kpi_mean_fatigue,kpi_peak_fatigue,kpi_fatigue_hi_ratio,r_delivery_per_step,r_fatigue_inc_per_step,r_backlog_per_step,r_fatigue_level_per_step,r_total_per_step,episode,rollout_mean_reward
32,13.333333333333334,6.783333333333333,11,0.0,1.7689331122166942,81.20508568269763,18.79491431730237,0.9791666666666666,0.3333333333333333,9.810291739158103,32,0.5276195853508783,1.0,0.35208333333333336,0.4,-0.06131432336973799,-0.003083333333333334,-0.23251144483396852,-0.020085945123934263,0,-4.820626829744223
32,13.333333333333334,6.783333333333333,11,0.0,1.7689331122166942,81.20508568269763,18.79491431730237,0.9791666666666666,0.3333333333333333,9.810291739158103,32,0.5276195853508783,1.0,0.35208333333333336,0.4,-0.06131432336973799,-0.003083333333333334,-0.23251144483396852,-0.020085945123934263,1,-4.820626829744223
32,13.333333333333334,6.783333333333333,11,0.0,1.7689331122166942,81.20508568269763,18.79491431730237,0.9791666666666666,0.3333333333333333,9.810291739158103,32,0.5276195853508783,1.0,0.35208333333333336,0.4,-0.06131432336973799,-0.003083333333333334,-0.23251144483396852,-0.020085945123934263,2,-4.820626829744223
32,13.333333333333334,6.783333333333333,11,0.0,1.7689331122166942,81.20508568269763,18.79491431730237,0.9791666666666666,0.3333333333333333,9.810291739158103,32,0.5276195853508783,1.0,0.35208333333333336,0.4,-0.06131432336973799,-0.003083333333333334,-0.23251144483396852,-0.020085945123934263,3,-4.820626829744223
32,13.333333333333334,6.783333333333333,11,0.0,1.7689331122166942,81.20508568269763,18.79491431730237,0.9791666666666666,0.3333333333333333,9.810291739158103,32,0.5276195853508783,1.0,0.35208333333333336,0.4,-0.06131432336973799,-0.003083333333333334,-0.23251144483396852,-0.020085945123934263,4,-4.820626829744223
32,13.333333333333334,6.783333333333333,11,0.0,1.7689331122166942,81.20508568269763,18.79491431730237,0.9791666666666666,0.3333333333333333,9.810291739158103,32,0.5276195853508783,1.0,0.35208333333333336,0.4,-0.06131432336973799,-0.003083333333333334,-0.23251144483396852,-0.020085945123934263,5,-4.820626829744223
32,13.333333333333334,6.783333333333333,11,0.0,1.7689331122166942,81.20508568269763,18.79491431730237,0.9791666666666666,0.3333333333333333,9.810291739158103,32,0.5276195853508783,1.0,0.35208333333333336,0.4,-0.06131432336973799,-0.003083333333333334,-0.23251144483396852,-0.020085945123934263,6,-4.820626829744223
32,13.333333333333334,6.783333333333333,11,0.0,1.7689331122166942,81.20508568269763,18.79491431730237,0.9791666666666666,0.3333333333333333,9.810291739158103,32,0.5276195853508783,1.0,0.35208333333333336,0.4,-0.06131432336973799,-0.003083333333333334,-0.23251144483396852,-0.020085945123934263,7,-4.820626829744223
32,13.333333333333334,6.783333333333333,11,0.0,1.7689331122166942,81.20508568269763,18.79491431730237,0.9791666666666666,0.3333333333333333,9.810291739158103,32,0.5276195853508783,1.0,0.35208333333333336,0.4,-0.06131432336973799,-0.003083333333333334,-0.23251144483396852,-0.020085945123934263,8,-4.820626829744223
32,13.333333333333334,6.783333333333333,11,0.0,1.7689331122166942,81.20508568269763,18.79491431730237,0.9791666666666666,0.3333333333333333,9.810291739158103,32,0.5276195853508783,1.0,0.35208333333333336,0.4,-0.06131432336973799,-0.003083333333333334,-0.23251144483396852,-0.020085945123934263,9,-4.820626829744223
