kpi_delivered_total,kpi_throughput_per_100_steps,kpi_mean_backlog,kpi_peak_backlog,kpi_rest_ratio,kpi_delivered_pct,kpi_remaining_work_pct,kpi_completion_pct,kpi_human_utilization,kpi_drone_utilization,episode_fatigue_increase_total,episode_delivered_delta_total,kpi_mean_fatigue,kpi_peak_fatigue,kpi_fatigue_hi_ratio,r_delivery_per_step,r_fatigue_inc_per_step,r_backlog_per_step,r_fatigue_level_per_step,r_total_per_step,episode,rollout_mean_reward
48,20.0,0.0,0,0.0,2.6533996683250414,80.15478164731896,19.845218352681044,0.9895833333333334,0.0,19.999999999999986,48,0.6683131845845851,1.0,0.5860416666666667,0.6,-0.12499999999999988,0.0,-0.43502494472828807,-0.13735161139495577,0,-32.964386734789386
48,20.0,0.0,0,0.0,2.6533996683250414,80.15478164731896,19.845218352681044,0.9895833333333334,0.0,19.999999999999986,48,0.6683131845845851,1.0,0.5860416666666667,0.6,-0.12499999999999988,0.0,-0.43502494472828807,-0.13735161139495577,1,-32.964386734789386
48,20.0,0.0,0,0.0,2.6533996683250414,80.15478164731896,19.845218352681044,0.9895833333333334,0.0,19.999999999999986,48,0.6683131845845851,1.0,0.5860416666666667,0.6,-0.12499999999999988,0.0,-0.43502494472828807,-0.13735161139495577,2,-32.964386734789386
48,20.0,0.0,0,0.0,2.6533996683250414,80.15478164731896,19.845218352681044,0.9895833333333334,0.0,19.999999999999986,48,0.6683131845845851,1.0,0.5860416666666667,0.6,-0.12499999999999988,0.0,-0.43502494472828807,-0.13735161139495577,3,-32.964386734789386
48,20.0,0.0,0,0.0,2.6533996683250414,80.15478164731896,19.845218352681044,0.9895833333333334,0.0,19.999999999999986,48,0.6683131845845851,1.0,0.5860416666666667,0.6,-0.12499999999999988,0.0,-0.43502494472828807,-0.13735161139495577,4,-32.964386734789386
48,20.0,0.0,0,0.0,2.6533996683250414,80.15478164731896,19.845218352681044,0.9895833333333334,0.0,19.999999999999986,48,0.6683131845845851,1.0,0.5860416666666667,0.6,-0.12499999999999988,0.0,-0.43502494472828807,-0.13735161139495577,5,-32.964386734789386
48,20.0,0.0,0,0.0,2.6533996683250414,80.15478164731896,19.845218352681044,0.9895833333333334,0.0,19.999999999999986,48,0.6683131845845851,1.0,0.5860416666666667,0.6,-0.12499999999999988,0.0,-0.43502494472828807,-0.13735161139495577,6,-32.964386734789386
48,20.0,0.0,0,0.0,2.6533996683250414,80.15478164731896,19.845218352681044,0.9895833333333334,0.0,19.999999999999986,48,0.6683131845845851,1.0,0.5860416666666667,0.6,-0.12499999999999988,0.0,-0.43502494472828807,-0.13735161139495577,7,-32.964386734789386
48,20.0,0.0,0,0.0,2.6533996683250414,80.15478164731896,19.845218352681044,0.9895833333333334,0.0,19.999999999999986,48,0.6683131845845851,1.0,0.5860416666666667,0.6,-0.12499999999999988,0.0,-0.43502494472828807,-0.13735161139495577,8,-32.964386734789386
48,20.0,0.0,0,0.0,2.6533996683250414,80.15478164731896,19.845218352681044,0.9895833333333334,0.0,19.999999999999986,48,0.6683131845845851,1.0,0.5860416666666667,0.6,-0.12499999999999988,0.0,-0.43502494472828807,-0.13735161139495577,9,-32.964386734789386
