num_healthy_workers,actor_manager_num_outstanding_async_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,num_env_steps_sampled_throughput_per_sec,num_env_steps_trained_throughput_per_sec,timesteps_total,num_env_steps_sampled_lifetime,num_agent_steps_sampled_lifetime,num_steps_trained_this_iter,agent_timesteps_total,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,env_runners/episode_reward_max,env_runners/episode_reward_min,env_runners/episode_reward_mean,env_runners/episode_len_mean,env_runners/episodes_timesteps_total,env_runners/num_faulty_episodes,env_runners/num_episodes,env_runners/episode_return_max,env_runners/episode_return_min,env_runners/episode_return_mean,env_runners/episodes_this_iter,timers/training_iteration_time_ms,timers/restore_workers_time_ms,timers/training_step_time_ms,timers/sample_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,env_runners/hist_stats/episode_reward,env_runners/hist_stats/episode_lengths
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,1,979c8_00000,2026-03-23_18-15-29,1774286129,61.98389673233032,61.98389673233032,24812,DESKTOP-1HI26E8,127.0.0.1,61.98389673233032,1,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,60534.884,0.0,60534.884,60534.884,0,0,0,0,11.725,50.05125,0.016375,0.26087567171470444,[],[]
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,2,979c8_00000,2026-03-23_18-15-31,1774286131,1.955906867980957,63.93980360031128,24812,DESKTOP-1HI26E8,127.0.0.1,63.93980360031128,2,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,31245.396,977.953,30267.442,30267.442,0,0,0,0,94.05,43.05,0.025,0.2607474352711285,[],[]
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,3,979c8_00000,2026-03-23_18-15-33,1774286133,1.9850685596466064,65.92487215995789,24812,DESKTOP-1HI26E8,127.0.0.1,65.92487215995789,3,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,21491.953,1313.658,20178.295,20178.295,0,0,0,0,81.66666666666667,45.03333333333334,0.013333333333333334,0.2612359550561798,[],[]
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,4,979c8_00000,2026-03-23_18-15-35,1774286135,2.0023391246795654,67.92721128463745,24812,DESKTOP-1HI26E8,127.0.0.1,67.92721128463745,4,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,16619.55,1485.829,15133.721,15133.721,0,0,0,0,96.5,47.0,0.045000000000000005,0.2619076697606253,[],[]
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,5,979c8_00000,2026-03-23_18-15-37,1774286137,1.9881269931793213,69.91533827781677,24812,DESKTOP-1HI26E8,127.0.0.1,69.91533827781677,5,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,13693.265,1586.288,12106.977,12106.977,0,0,0,0,74.26666666666667,47.366666666666674,0.01,0.26066601530695327,[],[]
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,6,979c8_00000,2026-03-23_18-15-39,1774286139,1.9821250438690186,71.89746332168579,24812,DESKTOP-1HI26E8,127.0.0.1,71.89746332168579,6,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,11741.409,1652.261,10089.147,10089.147,0,0,0,0,82.0,48.0,0.075,0.2597093307278945,[],[]
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,7,979c8_00000,2026-03-23_18-15-41,1774286141,1.9928834438323975,73.89034676551819,24812,DESKTOP-1HI26E8,127.0.0.1,73.89034676551819,7,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,10348.762,1700.921,8647.841,8647.841,0,0,0,0,82.76666666666667,48.6,0.10333333333333333,0.26111382510991693,[],[]
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,8,979c8_00000,2026-03-23_18-15-43,1774286143,1.996448278427124,75.88679504394531,24812,DESKTOP-1HI26E8,127.0.0.1,75.88679504394531,8,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,9304.723,1737.862,7566.861,7566.861,0,0,0,0,81.4,48.86666666666667,0.03333333333333333,0.2620908646800195,[],[]
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,9,979c8_00000,2026-03-23_18-15-45,1774286145,1.9774394035339355,77.86423444747925,24812,DESKTOP-1HI26E8,127.0.0.1,77.86423444747925,9,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,8490.469,1764.371,6726.098,6726.098,0,0,0,0,93.25,49.1,0.07,0.26148021494870544,[],[]
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,False,10,979c8_00000,2026-03-23_18-15-47,1774286147,1.9838814735412598,79.84811592102051,24812,DESKTOP-1HI26E8,127.0.0.1,79.84811592102051,10,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,7839.609,1786.121,6053.488,6053.488,0,0,0,0,89.86666666666667,49.333333333333336,0.016666666666666666,0.2602589154860772,[],[]
