kpi_delivered_total,kpi_throughput_per_100_steps,kpi_mean_backlog,kpi_peak_backlog,kpi_rest_ratio,kpi_delivered_pct,kpi_remaining_work_pct,kpi_completion_pct,kpi_human_utilization,kpi_drone_utilization,episode_fatigue_increase_total,episode_delivered_delta_total,kpi_mean_fatigue,kpi_peak_fatigue,kpi_fatigue_hi_ratio,r_delivery_per_step,r_fatigue_inc_per_step,r_backlog_per_step,r_fatigue_level_per_step,r_total_per_step,episode,rollout_mean_reward
113,47.083333333333336,11.1875,19,0.0,6.246545052515202,77.22498618021007,22.775013819789933,0.9865625,0.3333333333333333,39.94196602102325,113,0.5824508814582151,1.0,0.448125,1.4125,-0.24963728763139487,-0.005085227272727281,-0.33128729135223256,0.37691199349564647,0,90.45887843895515
113,47.083333333333336,11.1875,19,0.0,6.246545052515202,77.22498618021007,22.775013819789933,0.9865625,0.3333333333333333,39.94196602102325,113,0.5824508814582151,1.0,0.448125,1.4125,-0.24963728763139487,-0.005085227272727281,-0.33128729135223256,0.37691199349564647,1,90.45887843895515
113,47.083333333333336,11.1875,19,0.0,6.246545052515202,77.22498618021007,22.775013819789933,0.9865625,0.3333333333333333,39.94196602102325,113,0.5824508814582151,1.0,0.448125,1.4125,-0.24963728763139487,-0.005085227272727281,-0.33128729135223256,0.37691199349564647,2,90.45887843895515
113,47.083333333333336,11.1875,19,0.0,6.246545052515202,77.22498618021007,22.775013819789933,0.9865625,0.3333333333333333,39.94196602102325,113,0.5824508814582151,1.0,0.448125,1.4125,-0.24963728763139487,-0.005085227272727281,-0.33128729135223256,0.37691199349564647,3,90.45887843895515
113,47.083333333333336,11.1875,19,0.0,6.246545052515202,77.22498618021007,22.775013819789933,0.9865625,0.3333333333333333,39.94196602102325,113,0.5824508814582151,1.0,0.448125,1.4125,-0.24963728763139487,-0.005085227272727281,-0.33128729135223256,0.37691199349564647,4,90.45887843895515
113,47.083333333333336,11.1875,19,0.0,6.246545052515202,77.22498618021007,22.775013819789933,0.9865625,0.3333333333333333,39.94196602102325,113,0.5824508814582151,1.0,0.448125,1.4125,-0.24963728763139487,-0.005085227272727281,-0.33128729135223256,0.37691199349564647,5,90.45887843895515
113,47.083333333333336,11.1875,19,0.0,6.246545052515202,77.22498618021007,22.775013819789933,0.9865625,0.3333333333333333,39.94196602102325,113,0.5824508814582151,1.0,0.448125,1.4125,-0.24963728763139487,-0.005085227272727281,-0.33128729135223256,0.37691199349564647,6,90.45887843895515
113,47.083333333333336,11.1875,19,0.0,6.246545052515202,77.22498618021007,22.775013819789933,0.9865625,0.3333333333333333,39.94196602102325,113,0.5824508814582151,1.0,0.448125,1.4125,-0.24963728763139487,-0.005085227272727281,-0.33128729135223256,0.37691199349564647,7,90.45887843895515
113,47.083333333333336,11.1875,19,0.0,6.246545052515202,77.22498618021007,22.775013819789933,0.9865625,0.3333333333333333,39.94196602102325,113,0.5824508814582151,1.0,0.448125,1.4125,-0.24963728763139487,-0.005085227272727281,-0.33128729135223256,0.37691199349564647,8,90.45887843895515
113,47.083333333333336,11.1875,19,0.0,6.246545052515202,77.22498618021007,22.775013819789933,0.9865625,0.3333333333333333,39.94196602102325,113,0.5824508814582151,1.0,0.448125,1.4125,-0.24963728763139487,-0.005085227272727281,-0.33128729135223256,0.37691199349564647,9,90.45887843895515
